"Date","Time","Location","Home.Team","Home.Team.Abbreviation","Away.Team","Away.Team.Abbreviation","Quarter","Team.Possession","Down","Distance.to.First.Down","Distance.to.Touchdown","Play.Type","Yards","Outcome","Points.Scored.","Completed.Pass.","Incomplete.Pass.","Run.","Touchdown.","Field.Goal.","Penalty.","Punt.","Sack.","Interception.","Safety.","Fumble.","Extra.Point.","Turnover.","Drive.Number","Team.Play.Number","Play.Description"
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","2nd","Johns Hopkins","1","10","40","rush","3","",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,29,"danny wolf rush for 3 yards to the cwr37 (kerr,william; ayers,r.j.)."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","2nd","Johns Hopkins","2","7","37","pass","7","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,30,"ryan stevens pass complete to quinn revere for 7 yards to the cwr30 (schuster,colin)."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","2nd","Johns Hopkins","1","10","30","pass","22","",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,31,"ryan stevens pass complete to andrew sheahan for 22 yards to the cwr08 (mccrae,jack; brown,zach)."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","2nd","Johns Hopkins","1","Goal","8","pass","0","Incomplete Pass",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,32,"ryan stevens pass incomplete to josh polce."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","2nd","Johns Hopkins","2","Goal","8","pass","0","",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,33,"ryan stevens pass complete to danny wolf for no gain to the cwr08 (cikalo,nate)."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","2nd","Johns Hopkins","3","Goal","8","pass","8","Touchdown",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,34,"ryan stevens pass complete to quinn revere for 8 yards to the cwr00, touchdown, clock 10:14."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","2nd","Johns Hopkins","3","Goal","8","kick","Extra Point Attempt","Missed Extra Point Attempt",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,35,"john krill kick attempt failed."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","2nd","Case Western Reserve","1","10","85","rush","-5","",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,18,"orsini,antonio rush for loss of 5 yards to the cwr10 (j. vall-llobera)."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","2nd","Case Western Reserve","2","15","90","pass","0","Incomplete Pass",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,19,"saxton,drew pass incomplete to dahlem,ethan."
" 9/3/2022","12:00 PM","Cleveland, Ohio","Case Western Reserve","CWR","Johns Hopkins Univ.","JHU","2nd","Case Western Reserve","3","15","90","pass","0","Incomplete Pass",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,20,"saxton,drew pass incomplete to knurek,riley."
